Rolling Windows,Decrease Rates,Data Length
144,0.43898954955738756,11311
288,0.5666230736604289,11167
432,0.6069792931595761,11023
576,0.6745773327449223,10879
720,0.664672785638561,10735
864,0.6699969181814844,10591
1008,0.6931709694954306,10447
1152,0.727432889050138,10303
1296,0.7984508499675963,10159
1440,0.8209916496506728,10015
1584,0.8198641708244612,9871
1728,0.8171371770184328,9727
1872,0.8140965826235624,9583
2016,0.7914013885760304,9439
2160,0.8421120108447246,9295
2304,0.8725877814388512,9151
2448,0.8864440949645329,9007
2592,0.8911588429930796,8863
2736,0.8832294540447057,8719
2880,0.8672406798587403,8575
3024,0.8919163556037302,8431
3168,0.8890286470240054,8287
3312,0.8811606264261851,8143
3456,0.888417979781423,7999
3600,0.8774154660821123,7855
3744,0.8820863870351945,7711
3888,0.9060073344116324,7567
4032,0.9223874218131893,7423
4176,0.9409475948264842,7279
4320,0.9461556364648046,7135
4464,0.9479541294683375,6991
4608,0.9435389100472379,6847
4752,0.9376850868493709,6703
4896,0.9396589639127954,6559
5040,0.9516344914959435,6415
5184,0.9661049947150128,6271
5328,0.967133966530235,6127
5472,0.9694952923256025,5983
5616,0.9796210189004391,5839
5760,0.93445891216217,5695
5904,0.9530093128345525,5551
6048,0.9490029078019865,5407
6192,0.9511576742440471,5263
6336,0.954598481534244,5119
6480,0.9584026222631709,4975
6624,0.9530303661211292,4831
6768,0.9580407047245392,4687
6912,0.9675736386169168,4543
7056,0.9764475817191756,4399
7200,0.9808980134984282,4255
7344,0.9862862916536929,4111
7488,0.989367115230773,3967
7632,0.9914698793387219,3823
7776,0.9664439409886251,3679
7920,0.9585325655817223,3535
8064,0.9628605131003541,3391
8208,0.966125507913779,3247
8352,0.9688928148562184,3103
8496,0.9847749296469811,2959
